city,attr,city_eng
四川省_达州市,109.52483600000001,Dazhou
四川省_巴中市,117.03439509999998,Bazhong
四川省_雅安市,69.176154,Ya'an
四川省_遂宁市,152.1592972,Suining
河北省_衡水市,92.83677370000001,Hengshui
河北省_廊坊市,180.2554345,Langfang
浙江省_丽水市,136.96786819999997,Lishui
浙江省_台州市,251.54434320000001,Taizhou
湖南省_永州市,72.07590293,Yongzhou
湖南省_怀化市,178.63931069999998,Huaihua
广东省_清远市,207.057398,Qingyuan
江西省_南昌市,363.96371769999996,Nanchang
安徽省_合肥市,415.2613228,Hefei
甘肃省_兰州市,299.5943003,Lanzhou
甘肃省_嘉峪关市,111.3966405,Jiayuguan
甘肃省_金昌市,135.3329011,Jinchang
甘肃省_白银市,184.2202531,Baiyin
甘肃省_天水市,76.26527209999999,Tianshui
甘肃省_武威市,126.9261622,Wuwei
甘肃省_张掖市,291.0339529,Zhangye
甘肃省_酒泉市,163.2562478,Jiuquan
江苏省_镇江市,111.0903715,Zhenjiang
江苏省_宿迁市,221.72719269999996,Suqian
贵州省_黔西南布依族苗族自治州,68.02760518,Qianxinan
贵州省_黔南布依族苗族自治州,167.2697891,Qiannan
贵州省_黔东南苗族侗族自治州,314.28870919999997,Qiandongnan
浙江省_金华市,352.3194993,Jinhua
浙江省_湖州市,88.92964382,Huzhou
河北省_石家庄市,436.0981448,Shijiazhuang
河北省_唐山市,153.3254234,Tangshan
新疆维吾尔自治区_阿克苏地区,154.2398036,Aksu
新疆维吾尔自治区_巴音郭楞蒙古自治州,105.49458349999999,Bayingolin
新疆维吾尔自治区_吐鲁番市,206.52120380000002,Turpan
新疆维吾尔自治区_昌吉回族自治州,137.2421573,Changji
新疆维吾尔自治区_博尔塔拉蒙古族自治州,215.3763906,Bortala
黑龙江省_绥化市,195.065196,Suihua
黑龙江省_牡丹江市,174.1595716,Mudanjiang
黑龙江省_黑河市,20.26573183,Heihe
四川省_宜宾市,209.67364640000002,Yibin
四川省_广安市,156.7882372,Guang'an
四川省_乐山市,144.7642965,Leshan
